time,pm1s10,pm1s25,pm1e10,pm1e25
2025-02-14 04:14:02+00:00,,,,53.0
2025-02-14 04:15:03+00:00,,,,52.0
2025-02-14 04:17:06+00:00,,,,53.0
2025-02-14 04:18:08+00:00,,,,53.0
2025-02-14 04:19:09+00:00,,,,51.0
2025-02-14 04:20:09+00:00,,,,51.0
2025-02-14 04:21:11+00:00,,,,52.0
2025-02-14 04:22:12+00:00,,,,54.0
2025-02-14 04:23:14+00:00,,,,60.0
2025-02-14 04:24:14+00:00,,,,56.0
2025-02-14 04:25:15+00:00,,,,51.0
2025-02-14 04:27:18+00:00,,,,54.0
2025-02-14 04:28:23+00:00,,,,56.0
2025-02-14 04:29:23+00:00,,,,56.0
2025-02-14 04:31:26+00:00,,,,56.0
2025-02-14 04:32:28+00:00,,,,51.0
2025-02-14 04:33:29+00:00,,,,52.0
2025-02-14 04:34:31+00:00,,,,51.0
2025-02-14 04:36:34+00:00,,,,53.0
2025-02-14 04:37:35+00:00,,,,53.0
2025-02-14 04:38:36+00:00,,,,52.0
2025-02-14 04:40:39+00:00,,,,51.0
2025-02-14 04:41:41+00:00,,,,52.0
2025-02-14 04:42:42+00:00,,,,57.0
2025-02-14 04:44:45+00:00,,,,51.0
2025-02-14 04:45:46+00:00,,,,57.0
2025-02-14 04:46:48+00:00,,,,57.0
2025-02-14 04:47:49+00:00,,,,57.0
2025-02-14 04:48:51+00:00,,,,57.0
2025-02-14 04:49:52+00:00,,,,53.0
2025-02-14 04:50:54+00:00,,,,58.0
2025-02-14 04:51:54+00:00,,,,57.0
2025-02-14 04:53:57+00:00,,,,60.0
2025-02-14 04:54:58+00:00,,,,57.0
2025-02-14 04:56:00+00:00,,,,57.0
2025-02-14 04:57:01+00:00,,,,54.0
2025-02-14 04:58:02+00:00,,,,59.0
2025-02-14 04:59:04+00:00,,,,53.0
2025-02-14 05:00:05+00:00,,,,57.0
2025-02-14 05:01:07+00:00,,,,54.0
2025-02-14 05:02:08+00:00,,,,58.0
2025-02-14 05:03:10+00:00,,,,57.0
2025-02-14 05:04:10+00:00,,,,55.0
2025-02-14 05:05:11+00:00,,,,57.0
2025-02-14 05:06:13+00:00,,,,57.0
2025-02-14 05:07:14+00:00,,,,52.0
2025-02-14 05:08:14+00:00,,,,58.0
2025-02-14 05:09:16+00:00,,,,53.0
2025-02-14 05:10:17+00:00,,,,51.0
2025-02-14 05:11:19+00:00,,,,56.0
2025-02-14 05:12:20+00:00,,,,57.0
2025-02-14 05:13:24+00:00,,,,57.0
2025-02-14 05:14:24+00:00,,,,57.0
2025-02-14 05:15:26+00:00,,,,59.0
2025-02-14 05:16:27+00:00,,,,56.0
2025-02-14 05:17:29+00:00,,,,59.0
2025-02-14 05:18:30+00:00,,,,60.0
2025-02-14 05:19:31+00:00,,,,55.0
2025-02-14 05:20:33+00:00,,,,55.0
2025-02-14 05:21:34+00:00,,,,60.0
2025-02-14 05:22:36+00:00,,,,52.0
2025-02-14 05:23:37+00:00,,,,53.0
2025-02-14 05:24:39+00:00,,,,55.0
2025-02-14 05:25:40+00:00,,,,55.0
2025-02-14 05:26:42+00:00,,,,57.0
2025-02-14 05:27:43+00:00,,,,56.0
2025-02-14 05:28:44+00:00,,,,52.0
2025-02-14 05:29:46+00:00,,,,55.0
2025-02-14 05:30:47+00:00,,,,56.0
2025-02-14 05:31:49+00:00,,,,55.0
2025-02-14 05:32:50+00:00,,,,57.0
2025-02-14 05:33:52+00:00,,,,56.0
2025-02-14 05:34:53+00:00,,,,53.0
2025-02-14 05:35:54+00:00,,,,56.0
2025-02-14 05:36:56+00:00,,,,56.0
2025-02-14 05:37:57+00:00,,,,55.0
2025-02-14 05:38:59+00:00,,,,55.0
2025-02-14 05:40:00+00:00,,,,55.0
2025-02-14 05:41:02+00:00,,,,55.0
2025-02-14 05:42:03+00:00,,,,53.0
2025-02-14 05:43:05+00:00,,,,54.0
2025-02-14 05:44:06+00:00,,,,54.0
2025-02-14 05:45:07+00:00,,,,56.0
2025-02-14 05:47:10+00:00,,,,57.0
2025-02-14 05:48:11+00:00,,,,56.0
2025-02-14 05:49:12+00:00,,,,54.0
2025-02-14 05:50:13+00:00,,,,52.0
2025-02-14 05:52:15+00:00,,,,52.0
2025-02-14 05:53:16+00:00,,,,58.0
2025-02-14 05:54:18+00:00,,,,57.0
2025-02-14 05:55:19+00:00,,,,56.0
2025-02-14 05:56:21+00:00,,,,55.0
2025-02-14 05:57:22+00:00,,,,55.0
2025-02-14 05:58:26+00:00,,,,54.0
2025-02-14 05:59:26+00:00,,,,54.0
2025-02-14 06:00:27+00:00,,,,56.0
2025-02-14 06:01:27+00:00,,,,56.0
2025-02-14 06:02:28+00:00,,,,57.0
2025-02-14 06:03:30+00:00,,,,56.0
2025-02-14 06:04:31+00:00,,,,57.0
2025-02-14 06:05:32+00:00,,,,56.0
2025-02-14 06:06:34+00:00,,,,57.0
2025-02-14 06:07:35+00:00,,,,55.0
2025-02-14 06:08:37+00:00,,,,57.0
2025-02-14 06:09:38+00:00,,,,56.0
2025-02-14 06:10:40+00:00,,,,55.0
2025-02-14 06:11:41+00:00,,,,56.0
2025-02-14 06:12:43+00:00,,,,56.0
2025-02-14 06:13:44+00:00,,,,57.0
2025-02-14 06:14:45+00:00,,,,55.0
2025-02-14 06:15:47+00:00,,,,56.0
2025-02-14 06:16:48+00:00,,,,55.0
2025-02-14 06:17:50+00:00,,,,54.0
2025-02-14 06:18:51+00:00,,,,56.0
2025-02-14 06:19:53+00:00,,,,54.0
2025-02-14 06:20:54+00:00,,,,59.0
2025-02-14 06:21:55+00:00,,,,57.0
2025-02-14 06:22:56+00:00,,,,58.0
2025-02-14 06:23:57+00:00,,,,57.0
